As of Date,project_id,project_name,country,Country / Economy Lending Group,Country / Economy FCS Lending Group,Global Practice,Agreement Type,instrument,approval_fy,closing_fy,eval_type,outcome_label,quality_entry,quality_sup,bank_perf,me_quality,eval_fy,sector,outcome_score,doc_era,pdf_url,doc_type_found,doc_title,found,pdf_on_disk,RBM_score,PDIA_score,SPECIFICITY_score,specific_density,generic_density,decade,outcome_ord,RBM_z,PDIA_z,SPEC_z,SPEC_density_z,GENERIC_density_z,tangible,tangibility_label
03/22/2026,P174119,COVID-19 Relief Effort for Afghan Communities and Households (REACH),Afghanistan,IDA,IDA FCS,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2021,2026,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2023,"Environment, Natural Resources & the Blue Economy",4,PAD,http://documents.worldbank.org/curated/en/573321602262690625/pdf/Afghanistan-COVID-19-Relief-Effort-for-Afghan-Communities-and-Households-REACH-Project.pdf,Project Appraisal Document,Afghanistan - COVID-19 Relief Effort for Afghan Communities and Households (REACH) Project,TRUE,TRUE,0.2159,0.1005,1,0.5129,0.1832,2020,4,-1.024868027245725,-0.008519243507150345,0.7775327577109644,1.4394083368852146,-0.017898176455661517,NA,Mixed
03/22/2026,P125597,Kabul Municipal Development Program,Afghanistan,IDA,IDA FCS,"Urban, Resilience and Land",RETF,IPF,2014,2026,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2022,"Urban, Resilience and Land",4,PAD,http://documents.worldbank.org/curated/en/885711468187133218/pdf/801770PAD00P12000PUBLIC00KMDP000PAD.pdf,Project Appraisal Document,Afghanistan - Kabul Municipal Development Program Project,TRUE,TRUE,0.3581,0.2298,0.9753,0.5159,0.2956,2010,4,0.20239098261924024,1.6278664442293858,0.6057554484042066,1.4599670355765113,0.6892325393093895,NA,Mixed
03/22/2026,P162022,Herat Electrification Project,Afghanistan,IDA,IDA FCS,Energy & Extractives,IDA,IPF,2017,2026,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,Energy & Extractives,3,PAD,http://documents.worldbank.org/curated/en/634711497578490082/pdf/AFGHANISTAN-HEART-PAD-06022017.pdf,Project Appraisal Document,Afghanistan - Herat Electrification Project,TRUE,TRUE,0.3269,0.0775,0.8548,0.265,0.2983,2010,3,-0.06688103642286146,-0.29960099770622495,-0.2322674573230914,-0.2594254649722659,0.7062187753642443,1,Tangible
03/22/2026,P160567,Citizens' Charter Afghanistan Project,Afghanistan,IDA,IDA FCS,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2017,2026,ICRR,Moderately Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,High,2023,"Environment, Natural Resources & the Blue Economy",4,PAD,http://documents.worldbank.org/curated/en/257391477792873512/pdf/PAD-Citizens-Charter-Afghanistan-P160567-Oct-7-Board-version-10072016.pdf,Project Appraisal Document,Afghanistan - Citizens Charter Afghanistan Project,TRUE,TRUE,0.1882,0.0899,0.9,0.5124,0.4072,2010,4,-1.263933249279899,-0.14266996500759355,0.08207806416133934,1.4359818871033314,1.3913302962433731,NA,Mixed
03/22/2026,P160619,Cities Investment Program,Afghanistan,IDA,IDA FCS,"Urban, Resilience and Land",IDA,IPF,2019,2026,ICRR,Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2023,"Urban, Resilience and Land",2,PAD,http://documents.worldbank.org/curated/en/810621545534062536/pdf/1543432369820-000112554-Project-Appraisal-Document-PAD-002-11302018-636811128465500975.pdf,Project Appraisal Document,Afghanistan - Cities Investment Program Project,TRUE,TRUE,0.2537,0.1165,0.7033,0.4285,0.6064,2010,2,-0.6986346195601014,0.19397241158785802,-1.2858813180507733,0.8610236137034017,2.6445370451793004,NA,Mixed
03/22/2026,P149410,CASA-1000 Community Support Program (P149410),Afghanistan,IDA,IDA FCS,Social Sustainability and Inclusion,RETF,IPF,2014,2026,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2023,Social Sustainability and Inclusion,3,PAD,http://documents.worldbank.org/curated/en/735311467994640974/pdf/846600PAD0P1494100Box385184B00ouo090.pdf,Project Appraisal Document,Afghanistan - CASA-1000 Community Support Program Project,TRUE,TRUE,0.3361,0.156,0.9547,0.411,0.2576,2010,3,0.0125196871408352,0.6938736851036599,0.46249178153298415,0.7410978713375045,0.4501669948336606,NA,Mixed
03/22/2026,P132944,Naghlu Hydropower Rehabilitation Project,Afghanistan,IDA,IDA FCS,Energy & Extractives,RETF,IPF,2016,2026,ICRR,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,Energy & Extractives,3,PAD,http://documents.worldbank.org/curated/en/320511541065030739/pdf/PAD1450-PAD-PUBLIC-Nov-22-2015-Afghanistan-Naghlu.pdf,Project Appraisal Document,Afghanistan - Naghlu Hydropower Rehabilitation Project,TRUE,TRUE,0.3377,0.1329,0.8324,0.3188,0.3096,2010,3,0.026328508630173688,0.4015263580602414,-0.3880493086782073,0.10926053155832054,0.7773093188530793,1,Tangible
03/22/2026,P131228,DABS Planning And Capacity Support,Afghanistan,IDA,IDA FCS,Energy & Extractives,RETF,IPF,2016,2021,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2022,Energy & Extractives,4,PAD,http://documents.worldbank.org/curated/en/920811555686865087/pdf/Afghanistan-DABS-Planning-and-Capacity-Support-Project.pdf,Project Appraisal Document,Afghanistan - DABS Planning and Capacity Support Project,TRUE,TRUE,0.4334,0.3811,0.9857,0.3168,0.1908,2010,4,0.852268643961237,3.5426781577215585,0.6780827365333681,0.09555473243078981,0.02991493243948427,1,Tangible
03/22/2026,P173775,Afghanistan COVID-19 Emergency Response and Health Systems Preparedness Project,Afghanistan,IDA,IDA FCS,"Health, Nutrition & Population",IDA,IPF,2020,2026,ICRR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2023,"Health, Nutrition & Population",3,PAD,http://documents.worldbank.org/curated/en/964531585951138972/pdf/Afghanistan-COVID-19-Emergency-Response-and-Health-Systems-Preparedness-Project.pdf,Project Appraisal Document,Afghanistan - COVID-19 Emergency Response and Health Systems Preparedness Project,TRUE,TRUE,0.2699,0.1547,1,0.5878,0.2999,2020,3,-0.5588203019805484,0.6774212381271905,0.7775327577109644,1.9526905142112543,0.7162846930263801,NA,Mixed
03/22/2026,P158768,Public-Private Partnerships and Public Investment Advisory Project,Afghanistan,IDA,IDA FCS,"Finance, Competitiveness and Innovation",IDA,IPF,2018,2026,ICRR,Highly Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,"Finance, Competitiveness and Innovation",1,PAD,http://documents.worldbank.org/curated/en/811751531403657634/pdf/Afghanistan-Public-Private-Partnership-PAD-06082018.pdf,Project Appraisal Document,Afghanistan - Public-Private Partnership and Public Investment Advisory Project,TRUE,TRUE,0.2866,0.1431,0.5839,0.2115,0.3783,2010,1,-0.41469072768557674,0.5306147881833094,-2.1162542221490264,-0.626055591633723,1.2095146584710423,0,Intangible
