project_id,doc_era,pdf_url,doc_type_found,doc_title,found
P083964,PAD,NA,NA,NA,FALSE
P131864,PAD,NA,NA,NA,FALSE
P121883,PAD,NA,NA,NA,FALSE
P174119,PAD,http://documents.worldbank.org/curated/en/573321602262690625/pdf/Afghanistan-COVID-19-Relief-Effort-for-Afghan-Communities-and-Households-REACH-Project.pdf,Project Appraisal Document,Afghanistan - COVID-19 Relief Effort for Afghan Communities and Households (REACH) Project,TRUE
P097030,PAD,NA,NA,NA,FALSE
P086228,PAD,NA,NA,NA,FALSE
P091264,PAD,NA,NA,NA,FALSE
P121755,PAD,NA,NA,NA,FALSE
P125597,PAD,http://documents.worldbank.org/curated/en/885711468187133218/pdf/801770PAD00P12000PUBLIC00KMDP000PAD.pdf,Project Appraisal Document,Afghanistan - Kabul Municipal Development Program Project,TRUE
P077896,PAD,NA,NA,NA,FALSE
P084329,PAD,NA,NA,NA,FALSE
P162022,PAD,http://documents.worldbank.org/curated/en/634711497578490082/pdf/AFGHANISTAN-HEART-PAD-06022017.pdf,Project Appraisal Document,Afghanistan - Herat Electrification Project,TRUE
P110407,PAD,NA,NA,NA,FALSE
P160567,PAD,http://documents.worldbank.org/curated/en/257391477792873512/pdf/PAD-Citizens-Charter-Afghanistan-P160567-Oct-7-Board-version-10072016.pdf,Project Appraisal Document,Afghanistan - Citizens Charter Afghanistan Project,TRUE
P106654,PAD,NA,NA,NA,FALSE
P160619,PAD,http://documents.worldbank.org/curated/en/810621545534062536/pdf/1543432369820-000112554-Project-Appraisal-Document-PAD-002-11302018-636811128465500975.pdf,Project Appraisal Document,Afghanistan - Cities Investment Program Project,TRUE
P149410,PAD,http://documents.worldbank.org/curated/en/735311467994640974/pdf/846600PAD0P1494100Box385184B00ouo090.pdf,Project Appraisal Document,Afghanistan - CASA-1000 Community Support Program Project,TRUE
P083919,PAD,NA,NA,NA,FALSE
P132944,PAD,http://documents.worldbank.org/curated/en/320511541065030739/pdf/PAD1450-PAD-PUBLIC-Nov-22-2015-Afghanistan-Naghlu.pdf,Project Appraisal Document,Afghanistan - Naghlu Hydropower Rehabilitation Project,TRUE
P088719,PAD,NA,NA,NA,FALSE
P131228,PAD,http://documents.worldbank.org/curated/en/920811555686865087/pdf/Afghanistan-DABS-Planning-and-Capacity-Support-Project.pdf,Project Appraisal Document,Afghanistan - DABS Planning and Capacity Support Project,TRUE
P091038,PAD,NA,NA,NA,FALSE
P118053,PAD,NA,NA,NA,FALSE
P102573,PAD,NA,NA,NA,FALSE
P103343,PAD,NA,NA,NA,FALSE
P119047,PAD,NA,NA,NA,FALSE
P100935,PAD,NA,NA,NA,FALSE
P090928,PAD,NA,NA,NA,FALSE
P120398,PAD,NA,NA,NA,FALSE
P083906,PAD,NA,NA,NA,FALSE
P106170,PAD,NA,NA,NA,FALSE
